date,day_of_week,day_of_week_code,is_weekend,month, season_code ,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sunday,monday,tuesday,wednesday,thursday,friday,saturday
3/1/2015,Sunday,1,0,3,2,12,78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3/2/2015,Monday,2,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/3/2015,Tuesday,3,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/4/2015,Wednesday,4,0,3,2,12,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/5/2015,Thursday,5,0,3,2,14,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/6/2015,Friday,6,1,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/7/2015,Saturday,7,1,3,2,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/8/2015,Sunday,1,0,3,2,26,64,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3/9/2015,Monday,2,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/10/2015,Tuesday,3,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/11/2015,Wednesday,4,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/12/2015,Thursday,5,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/13/2015,Friday,6,1,3,2,40,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/14/2015,Saturday,7,1,3,2,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/15/2015,Sunday,1,0,3,2,17,73,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3/16/2015,Monday,2,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/17/2015,Tuesday,3,0,3,2,11,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
