holiday_friendly,holiday_code,holiday_type,date,day_of_week,day_of_week_code,is_weekend,month,season_code,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,is_holiday,holiday_5,holiday_weekend
NULL,NULL,NULL,00:00.0,Saturday,1,0,5,2,89,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,2,0,5,2,47,43,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,5,2,69,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,5,2,67,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,5,2,68,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,5,2,55,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Friday,7,1,5,2,84,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,1,0,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,2,0,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Memorial Day,mem,Federal,00:00.0,Monday,3,0,5,2,28,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,5,2,42,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,5,2,48,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,6,3,56,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Friday,7,1,6,3,85,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,1,0,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,2,0,6,3,25,65,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,6,3,52,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,6,3,53,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,6,3,66,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,7,1,6,3,67,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,1,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,2,0,6,3,66,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,6,3,47,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,6,3,67,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,6,3,71,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,6,3,77,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Friday,7,1,6,3,82,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,1,0,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Father's Day,dad,Federal,00:00.0,Sunday,2,0,6,3,80,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,6,3,83,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,6,3,83,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,6,3,72,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Friday,7,1,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,1,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,2,0,6,3,59,31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,6,3,59,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,6,3,59,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,6,3,65,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,6,3,76,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Friday,7,1,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,1,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,2,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Monday,3,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Independence Day,ind,Federal,00:00.0,Tuesday,4,0,7,3,51,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,7,3,69,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,7,3,74,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Friday,7,1,7,3,82,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,1,0,7,3,89,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,2,0,7,3,73,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Monday,3,0,7,3,73,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,7,3,78,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,7,3,80,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,7,3,85,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,7,1,7,3,86,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,1,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,2,0,7,3,77,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,7,3,81,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,7,1,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,1,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,2,0,7,3,75,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,7,3,63,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,7,3,77,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,6,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,7,1,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,1,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,2,0,7,3,79,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,3,0,7,3,68,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,4,0,8,3,75,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,5,0,8,3,79,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
